"Product (20)","Description","Primary Vendor Name","Product Line Description","Web Category Description","Primary Vendor","Product Line Code","Web Category","Major Group Code","Major Group Description","Price Group Code","Price Group Description","UPC","Image File","Image Path","Image URL","Status","Available","Units of Measure"
"MAM20WT","Fine Fixures MANCHESTER MIRROR20' WIDE - WHEAT              ","FINE FIXTURE","FINE FIXTURES","","00296","0143","","","","","","","","https://finefixadmin.wpengine.com/wp-content/uploads/2020/08/mam20wt.jpg","https://finefixadmin.wpengine.com/wp-content/uploads/2020/08/mam20wt.jpg","N","0","EA"
"IF1510","1-1/2 IPS X 1 FIBER GLASS     INSULATION 3FT                ","General Insulation Company, Inc.","Fiber Glass Insulation","","01765","0006","","","","","","","","","","","10","EA"
"GL80W","Williamson GL-80-W Glass Lined80.1 Gallon Indirect Fired    ","","WILLIAMSON BOILER","","","0020","","06","BOILERS","","","","","","","N","0","EA"
"MV1615RW","Fine Fixures MODERN VESSEL    ROUND 16 X 15 WHITE - NO      ","FINE FIXTURE","FINE FIXTURES","","00296","0143","","","","","","","","https://finefixadmin.wpengine.com/wp-content/uploads/2020/08/MV1615RW-2-1.jpg","https://finefixadmin.wpengine.com/wp-content/uploads/2020/08/MV1615RW-2-1.jpg","N","0","EA"
"65129","2-in-1 Nut Driver, Hex Head   Slide Drive, 6-Inch (1/4 Hex  ","Klein Tools Inc.","Klein Tools","","01283","0156","","","","","","092644651298","65129.jpg","\\192.168.1.66\IMAGES/65129.jpg","","","3","EA"
"GP40S08BXR","GE RealMAX Choice 40-Gallon   Short Liquid Propane          ","GE Appliances, a Haier Company","GE Water Heater Uncommon","","01796","0231","","015","GE Appliance ","","","84691878711","","https://ysps.shop/media/products/images/GP40S08BXR.jpg","https://ysps.shop/media/products/images/GP40S08BXR.jpg","N","0","EA"
"MX24EW","Fine Fixures MAXI COLLECTION  WALL HUNG VANITY 24' - ELM    ","FINE FIXTURE","FINE FIXTURES","","00296","0143","","","","","","","","https://finefixadmin.wpengine.com/wp-content/uploads/2020/06/M5-2000x2000-1.jpg","https://finefixadmin.wpengine.com/wp-content/uploads/2020/06/M5-2000x2000-1.jpg","N","0","EA"
"JRS1470Y03","PROMENADE DECK DRAINS 3""      S1470Y03                      ","Jay R. Smith Manufacturing. Co","JR SMITH","","00369","0149","","","","","","","","","","N","0","EA"
"16703","Ridgid 16703 Model 425        Portable TriStand Chain Vise  ","Emerson Professional Tools","RIDGID HAND TOOLS","","01533","0188","","014","RIDGID","","","095691167033","","https://ysps.shop/media/products/images/16703.jpg","https://ysps.shop/media/products/images/16703.jpg","","3","EA"
"IF1515","1-1/2 IPS X 1-1/2 FIBER GLASS INSULATION                    ","General Insulation Company, Inc.","Fiber Glass Insulation","","01765","0006","","","","","","","","","","N","0","EA"
"EJCS20","20 GAL 120 VOLT RESIDENTIAL   WATTER HEATER 6 YEAR (25X18)  ","North Shore Plumbing Supply Co Inc","AO SMITH","","00770","0048","","","","","","","","https://ysps.shop/media/products/images/EJCS20.jpg","https://ysps.shop/media/products/images/EJCS20.jpg","","4","EA"
"CNAR4030","4"" x 3"" Short Reducer Epoxy                                 ","","Epoxy Coated Cast Iron Fitting","","","0169","","","","","","","","","","N","0","EA"
"PP310FTPIPE","3""x10 FT Polypropylene Single Wall Vent Pipe                ","Centrotherm Eco Systems LLC","polypropylene pipe","","01311","0134","","","","","","815010016411","","https://ysps.shop/media/products/images/PP810FTPIPE.jpg","https://ysps.shop/media/products/images/PP810FTPIPE.jpg","","50","PIPE"
"PP310FTPIPE","","Centrotherm Eco Systems LLC","polypropylene pipe","","01311","0134","","","","","","815010016411","","https://ysps.shop/media/products/images/PP810FTPIPE.jpg","https://ysps.shop/media/products/images/PP810FTPIPE.jpg","","50","BOX"
"PP310FTPIPE","","Centrotherm Eco Systems LLC","polypropylene pipe","","01311","0134","","","","","","815010016411","","https://ysps.shop/media/products/images/PP810FTPIPE.jpg","https://ysps.shop/media/products/images/PP810FTPIPE.jpg","","50","SKI"
"TXXL","T-shirt,XXLlarge                                            ","SYG Distribution Corp","Hand Tools","","01220","0198","","","","","","","","","","","170","EA"
"IF1520","1-1/2 IPS X 2 FIBER GLASS     INSULATION                    ","General Insulation Company, Inc.","Fiber Glass Insulation","","01765","0006","","","","","","","","","","N","0","EA"
"MRO2230BL","Fine Fixures 22"" X 30"" MIRROR RECTANGULAR OVAL MATTE BLACK  ","FINE FIXTURE","FINE FIXTURES","","00296","0143","","","","","","","","https://finefixadmin.wpengine.com/wp-content/uploads/2022/09/MRO2230BL03.jpg","https://finefixadmin.wpengine.com/wp-content/uploads/2022/09/MRO2230BL03.jpg","N","0","EA"
"DCS30","3"" STEAM DRESSER COUPLING 4   BOLT                          ","WALRICH CORPORATION","DRESSER COUPLING","","00666","0204","","","","","","","","","","","0","EA"
"NBK40300","4 X 30'' BLACK NIPPLE         (SPECIAL ORDER)               ","Alro Products International, LLC","BLACK NIPPLES","","00131","0026","","","","","","","","","","N","0","EA"
"NACOT80","8"" Test Tee/ CO Tee (w/ 8""    Brass plug) NEWAGE            ","NewAge Casting","NEWAGE CASTING","","00479","0076","","10","Newage","","","","","","","","0","EA"
"XHR15080","15 X 8 REDUCER XH-143                                       ","","EXTRA HEAVY FITTINGS","","","0132","","","","","","","","","","N","0","EA"
"SVTY20","2'' SERVICE WEIGHT TY                                       ","The Plumbing Exchange","sv fitting","","00635","0128","","","","","","","","","","N","0","EA"
"350ASTDA","3-350ASTDA - Double Check     Detector Backflow Preventer   ","Long Island Pipe Supply, Inc.","ZURN","","00423","0055","","","","","","","","https://ysps.shop/media/products/images/350ASTDA.jpg","https://ysps.shop/media/products/images/350ASTDA.jpg","N","0","EA"
"IF1530","1-1/2 IPS X 3 FIBER GLASS     INSULATION                    ","General Insulation Company, Inc.","Fiber Glass Insulation","","01765","0006","","","","","","","","","","N","0","EA"
"SDD30PC","Fine Fixures TUB PANEL FIXED  FRAMELESS - 30"" X 58"" -       ","FINE FIXTURE","FINE FIXTURES","","00296","0143","","","","","","","","https://finefixadmin.wpengine.com/wp-content/uploads/2022/12/TDF1-PC.jpg","https://finefixadmin.wpengine.com/wp-content/uploads/2022/12/TDF1-PC.jpg","N","0","EA"
"PVCB12080","12 X 8 PVC BUSHING                                          ","Alro Products International, LLC","PVC FITTINGS DWV","","00131","0013","","","","","","","","","","N","0","EA"
"PVCB8060","8 X 6 PVC Bushing                                           ","Alro Products International, LLC","PVC FITTINGS SCH-40","","00131","0166","","","","","","","","","","N","0","EA"
"T17453","DELTA VERO Monitor 17 Series  Tub & Shower Trim             ","","DELTA","","","0066","","","","","","","","","","N","0","EA"
"PPSC20","2"" Polypropylene SW Support   Clamp IASCM02                 ","Centrotherm Eco Systems LLC","polypropylene fittings","","01311","0135","","","","","","815010016138","H0010343.png","\\192.168.1.66\IMAGES/H0010343.png","","","40","EA"
"PPSC20","","Centrotherm Eco Systems LLC","polypropylene fittings","","01311","0135","","","","","","815010016138","H0010343.png","\\192.168.1.66\IMAGES/H0010343.png","","","40","BOX"
"SJGLR6040","6 X 4 Galvanized Grooved      Concentric Reducer            ","Sigma Piping Products LLC (Elite Components)","Galvernized Grooved","","00767","0144","","","","","","","","","","","1","EA"
"SVTY30","3'' SERVICE WEIGHT TY                                       ","The Plumbing Exchange","sv fitting","","00635","0128","","","","","","","","","","N","0","EA"
"Q340A1108/U","Q340A1108/U 48"" 30 mV         Thermocouple w. 11/32-32 Male ","Control Supply Corp","HONEYWELL","","00239","0036","","08","CONTROLS","","","","","","","","15","EA"
"ORLD0400","4"" O-Ring For Ball Valve                                    ","EVERFLOW SUPPLIES INC","NON STOCK VALVES","","00283","0202","","011","Valves","","","22480140119","","","","N","0","EA"
"T17459","DELTA Monitor 17 Series       H2Okinetic Tub & Shower Trim  ","","DELTA","","","0066","","","","","","","T17459.png","\\192.168.1.66\IMAGES/T17459.png","","N","0","EA"
"T17461","Delta T17461 Compelet Monitor Tub/Shower Trim               ","","DELTA","","FERGUSO","0066","","","","","","","","","","N","0","EA"
"SOLSIL10016","1LB SILVERBRIGHT 100 SOLDER                                 ","The Harris Products Group","SOLDER","","01056","0025","","","","","","","","","","","36","EA"
"VNMC22NB","Fine Fixures VENEZIAN MEDICINECABINET 22"" WIDE -NAVY BLUE   ","FINE FIXTURE","FINE FIXTURES","","00296","0143","","","","","","","","https://finefixadmin.wpengine.com/wp-content/uploads/2020/08/Mirror-1-1-2000x2000-1.jpg","https://finefixadmin.wpengine.com/wp-content/uploads/2020/08/Mirror-1-1-2000x2000-1.jpg","N","0","EA"
"SFB41624","SFB CABINET 4X16 24"" HIGH                                   ","OCS Industries","SFB CABINET & ELEMENT","","00504","0080","","11","Radiator","","","","","","","N","0","EA"
"PVC80C1210","1-1/4"" X 1"" SCH 80 PVC        COUPLING                      ","Alro Products International, LLC","PVC FITTINGS DWV","","00131","0013","","","","","","","","","","N","0","EA"
"SVTY40","4'' SERVICE WEIGHT TY                                       ","The Plumbing Exchange","sv fitting","","00635","0128","","","","","","","","","","N","0","EA"
"PPSC30","3"" Polypropylene SW Support   Clamp IASCM03                 ","Centrotherm Eco Systems LLC","polypropylene fittings","","01311","0135","","","","","","815010016145","H0010343.png","\\192.168.1.66\IMAGES/H0010343.png","","","47","EA"
"PPSC30","","Centrotherm Eco Systems LLC","polypropylene fittings","","01311","0135","","","","","","815010016145","H0010343.png","\\192.168.1.66\IMAGES/H0010343.png","","","47","BOX"
